config,coord_dim,seed,k_frac,spearman_D_S,perm_null_mean,perm_null_sd,perm_p,perm_p_one_sided,n_perm,n_inputs,n_pairs,inputs,within_imp_mean_rho,cohesion_selected,cohesion_random_mean,cohesion_random_sd,cohesion_z,cohesion_matched_mean,cohesion_matched_sd,cohesion_matched_z,imp_selected,imp_all
cifar10 geo_r,3,0,0.05,-0.07559610137621152,0.00024502903244144847,0.007179001514201989,0.001,0.001,999,4000,300000,calib,-0.10454143747132819,0.05992446094751358,0.019573105755262075,0.002898138648692954,13.923196944537683,0.031215551579371094,0.004355808289594592,6.590948786734495,0.6340768933296204,0.5107829570770264
cifar10 geo_r,3,0,0.1,-0.07559610137621152,0.00024502903244144847,0.007179001514201989,0.001,0.001,999,4000,300000,calib,-0.10454143747132819,0.040672168135643005,0.01930425772909075,0.0020251385087341066,10.551332811975307,0.031351426681503654,0.002700376294654519,3.451645412951673,0.6371606588363647,0.5107829570770264
cifar10 geo_r,3,0,0.2,-0.07559610137621152,0.00024502903244144847,0.007179001514201989,0.001,0.001,999,4000,300000,calib,-0.10454143747132819,0.03426586464047432,0.019437180305831133,0.0013012959818193691,11.395320150390054,0.0288871912099421,0.0014698493001316093,3.659336658793033,0.617755115032196,0.5107829570770264
cifar10 geo_r,3,1,0.05,-0.10786164447264113,0.0002989698845944548,0.007031542568994948,0.001,0.001,999,4000,300000,calib,-0.13962247029182845,0.03712322935461998,0.01895779838319868,0.0027781514429498443,6.53867556823848,0.028009036956354975,0.004003027675227841,2.276824727540617,0.6276953220367432,0.5114120244979858
cifar10 geo_r,3,1,0.1,-0.10786164447264113,0.0002989698845944548,0.007031542568994948,0.001,0.001,999,4000,300000,calib,-0.13962247029182845,0.0415932722389698,0.0190874325344339,0.0019561592283689777,11.505116437681757,0.029577277712523938,0.0026110286719348437,4.602015539316031,0.6417567729949951,0.5114120244979858
cifar10 geo_r,3,1,0.2,-0.10786164447264113,0.0002989698845944548,0.007031542568994948,0.001,0.001,999,4000,300000,calib,-0.13962247029182845,0.025771882385015488,0.018915194664150477,0.0012595184183214114,5.443896346159968,0.02680916371755302,0.0014987715032099772,-0.6920877062473231,0.6137150526046753,0.5114120244979858
cifar10 geo_r,3,2,0.05,-0.12414864234918521,0.00019192423056330743,0.006980594077167403,0.001,0.001,999,4000,300000,calib,-0.15660993657846944,0.06629373878240585,0.01868059518747032,0.002930087121792442,16.249736475261898,0.0285882462374866,0.004210206184821771,8.95573539174773,0.6387763023376465,0.509713888168335
cifar10 geo_r,3,2,0.1,-0.12414864234918521,0.00019192423056330743,0.006980594077167403,0.001,0.001,999,4000,300000,calib,-0.15660993657846944,0.03554186969995499,0.018328675855882465,0.001644392216189199,10.467815198916147,0.027165465112775563,0.002204011247879141,3.800527148597485,0.6223325729370117,0.509713888168335
cifar10 geo_r,3,2,0.2,-0.12414864234918521,0.00019192423056330743,0.006980594077167403,0.001,0.001,999,4000,300000,calib,-0.15660993657846944,0.01826300099492073,0.01837719886098057,0.0011641071320871422,-0.09809910343646161,0.022661268394440413,0.0013245617518126025,-3.320545372973595,0.5790753960609436,0.509713888168335
cifar10 geo_r,3,3,0.05,-0.11871953381975021,-0.0003978537647377002,0.0071220262375755565,0.001,0.001,999,4000,300000,calib,-0.15007248309715346,0.03455965965986252,0.01864353148266673,0.002692463101666146,5.911363524883676,0.032232943447306754,0.004132958205762256,0.562966305526352,0.6628500819206238,0.5112135410308838
cifar10 geo_r,3,3,0.1,-0.11871953381975021,-0.0003978537647377002,0.0071220262375755565,0.001,0.001,999,4000,300000,calib,-0.15007248309715346,0.029895370826125145,0.01871954947710037,0.0018080621749467418,6.181104553648916,0.029926369385793804,0.0025143934685548457,-0.012328444232774566,0.6449632048606873,0.5112135410308838
cifar10 geo_r,3,3,0.2,-0.11871953381975021,-0.0003978537647377002,0.0071220262375755565,0.001,0.001,999,4000,300000,calib,-0.15007248309715346,0.0270969457924366,0.018663752814754842,0.0011961187341497307,7.050464748908131,0.027185009587556125,0.0014683482491558804,-0.059974733589375835,0.6206879019737244,0.5112135410308838
cifar10 geo_r,3,4,0.05,-0.12490948634117544,6.167102248130947e-05,0.00733608387518137,0.001,0.001,999,4000,300000,calib,-0.15364291922582302,0.05566755682229996,0.01955671714153141,0.00294623782096753,12.256593616279533,0.030310918297618627,0.0041645090719975185,6.088746135551147,0.6420197486877441,0.5117396712303162
cifar10 geo_r,3,4,0.1,-0.12490948634117544,6.167102248130947e-05,0.00733608387518137,0.001,0.001,999,4000,300000,calib,-0.15364291922582302,0.057205669581890106,0.019315741080790757,0.002019143261398141,18.765349248223917,0.027978430278599264,0.002697918116194135,10.833256619992417,0.6197726130485535,0.5117396712303162
cifar10 geo_r,3,4,0.2,-0.12490948634117544,6.167102248130947e-05,0.00733608387518137,0.001,0.001,999,4000,300000,calib,-0.15364291922582302,0.03095192089676857,0.01931384824682027,0.0013083326945108403,8.895346489376083,0.023919815737754105,0.0014779917744927953,4.757878410162198,0.586780846118927,0.5117396712303162
cifar10 geo_r,3,5,0.05,-0.10876814352575964,0.00011384133781024059,0.007005192973626364,0.001,0.001,999,4000,300000,calib,-0.1390925595068924,0.03323912248015404,0.01924304569605738,0.0028243292024002302,4.955540157020889,0.030080398358404637,0.004207218190293307,0.7507868568086796,0.6393313407897949,0.5094814896583557
cifar10 geo_r,3,5,0.1,-0.10876814352575964,0.00011384133781024059,0.007005192973626364,0.001,0.001,999,4000,300000,calib,-0.1390925595068924,0.03600650280714035,0.018977973223663867,0.0018510110882711504,9.199582694116433,0.025703231785446406,0.0023442637850191986,4.395098829381296,0.6009467840194702,0.5094814896583557
