config,seed,k_frac,arm,total_neurons,ridge_a1,ridge_a01,ridge_a10,logistic,knn20,archived,n_shuf_reps
cifar10_r50_geo_m,6,0.25,orig,2048,0.8924999833106995,0.8924999833106995,0.8926999568939209,0.9043999910354614,0.8738,0.8924999833106995,1.0
cifar10_r50_geo_m,6,0.25,shuf,2048,0.865559983253479,0.865559983253479,0.8655999898910522,0.8802599787712098,0.8162800000000001,0.865559983253479,5.0
cifar10_r50_geo_m,6,0.3,orig,2048,0.8978999853134155,0.8978999853134155,0.8980000019073486,0.9025999903678894,0.872,0.8978999853134155,1.0
cifar10_r50_geo_m,6,0.3,shuf,2048,0.8739799618721008,0.8739799618721008,0.8739599704742431,0.8835399627685547,0.82398,0.8739799618721008,5.0
cifar10_r50_geo_m,6,0.5,orig,2048,0.9073999524116516,0.9073999524116516,0.9074999690055847,0.9038999676704407,0.8752,0.9073999524116516,1.0
cifar10_r50_geo_m,6,0.5,shuf,2048,0.8949599742889405,0.8949599742889405,0.8949599742889405,0.8895999670028687,0.8484200000000002,0.8949599742889405,5.0
cifar10_r50_geo_m,7,0.05,orig,2048,0.8495999574661255,0.8495999574661255,0.8495999574661255,0.875499963760376,0.8352,0.8495999574661255,1.0
cifar10_r50_geo_m,7,0.05,shuf,2048,0.7372599840164185,0.7372399806976319,0.7372399806976319,0.7834799766540528,0.6860199999999999,0.7372599840164185,5.0
cifar10_r50_geo_m,7,0.1,orig,2048,0.8720999956130981,0.8720999956130981,0.8720999956130981,0.8917999863624573,0.8561,0.8720999956130981,1.0
cifar10_r50_geo_m,7,0.1,shuf,2048,0.8064799904823303,0.8064799904823303,0.8064799904823303,0.8405199885368347,0.7438,0.8064799904823303,5.0
cifar10_r50_geo_m,7,0.15,orig,2048,0.8854999542236328,0.8854999542236328,0.8854999542236328,0.8999999761581421,0.8651,0.8854999542236328,1.0
cifar10_r50_geo_m,7,0.15,shuf,2048,0.8371999859809875,0.8371999859809875,0.8371999859809875,0.8629599809646606,0.77584,0.8371999859809875,5.0
cifar10_r50_geo_m,7,0.2,orig,2048,0.8894000053405762,0.8894000053405762,0.8894000053405762,0.9041000008583069,0.8702,0.8894000053405762,1.0
cifar10_r50_geo_m,7,0.2,shuf,2048,0.8541799783706665,0.8541799783706665,0.8541599750518799,0.8751199960708618,0.7983800000000001,0.8541799783706665,5.0
cifar10_r50_geo_m,7,0.25,orig,2048,0.8930999636650085,0.8930999636650085,0.8930999636650085,0.9062999486923218,0.8729,0.8930999636650085,1.0
cifar10_r50_geo_m,7,0.25,shuf,2048,0.865779983997345,0.8657599806785583,0.8657999873161316,0.8819599866867065,0.81348,0.865779983997345,5.0
cifar10_r50_geo_m,7,0.3,orig,2048,0.8980000019073486,0.8980000019073486,0.8980000019073486,0.9020999670028687,0.8733,0.8980000019073486,1.0
cifar10_r50_geo_m,7,0.3,shuf,2048,0.8746399760246277,0.8746399760246277,0.8746399760246277,0.8849599957466125,0.82286,0.8746399760246277,5.0
cifar10_r50_geo_m,7,0.5,orig,2048,0.9057999849319458,0.9057999849319458,0.9059000015258789,0.8966999650001526,0.8763,0.9057999849319458,1.0
cifar10_r50_geo_m,7,0.5,shuf,2048,0.8937799811363221,0.8937799811363221,0.8937599778175354,0.8904999613761901,0.85046,0.8937799811363221,5.0
cifar10_r50_geo_m,8,0.05,orig,2048,0.8452999591827393,0.8452999591827393,0.8452999591827393,0.8671999573707581,0.8238,0.8452999591827393,1.0
cifar10_r50_geo_m,8,0.05,shuf,2048,0.7433799862861633,0.7433799862861633,0.7433799862861633,0.788159966468811,0.6930799999999999,0.7433799862861633,5.0
cifar10_r50_geo_m,8,0.1,orig,2048,0.8721999526023865,0.8721999526023865,0.8721999526023865,0.894599974155426,0.8527,0.8721999526023865,1.0
cifar10_r50_geo_m,8,0.1,shuf,2048,0.8060199737548828,0.8060199737548828,0.8060199737548828,0.8378199815750123,0.7449999999999999,0.8060199737548828,5.0
cifar10_r50_geo_m,8,0.15,orig,2048,0.8847000002861023,0.8847000002861023,0.8847000002861023,0.897599995136261,0.867,0.8847000002861023,1.0
cifar10_r50_geo_m,8,0.15,shuf,2048,0.8355599761009216,0.8355599761009216,0.8355599641799927,0.8578399777412414,0.7762800000000001,0.8355599761009216,5.0
cifar10_r50_geo_m,8,0.2,orig,2048,0.8896999955177307,0.8896999955177307,0.8896999955177307,0.9044999480247498,0.8725,0.8896999955177307,1.0
cifar10_r50_geo_m,8,0.2,shuf,2048,0.8531599879264832,0.8531599879264832,0.8531599879264832,0.8724799752235413,0.7981200000000002,0.8531599879264832,5.0
cifar10_r50_geo_m,8,0.25,orig,2048,0.8951999545097351,0.8951999545097351,0.8951999545097351,0.9060999751091003,0.8749,0.8951999545097351,1.0
cifar10_r50_geo_m,8,0.25,shuf,2048,0.8669199824333191,0.8669199824333191,0.8669199705123901,0.880239975452423,0.81182,0.8669199824333191,5.0
cifar10_r50_geo_m,8,0.3,orig,2048,0.8991999626159668,0.8991999626159668,0.8991999626159668,0.9045999646186829,0.8738,0.8991999626159668,1.0
cifar10_r50_geo_m,8,0.3,shuf,2048,0.8744999766349792,0.8744999766349792,0.8744799733161926,0.8852599859237671,0.8251199999999999,0.8744999766349792,5.0
cifar10_r50_geo_m,8,0.5,orig,2048,0.9083999991416931,0.9083999991416931,0.9083999991416931,0.9021999835968018,0.8759,0.9083999991416931,1.0
cifar10_r50_geo_m,8,0.5,shuf,2048,0.8941799879074097,0.8941799879074097,0.8941999673843384,0.8893399715423584,0.849,0.8941799879074097,5.0
cifar10_r50_geo_m,9,0.05,orig,2048,0.8499000072479248,0.8497999906539917,0.8499999642372131,0.8741999864578247,0.8349,0.8499000072479248,1.0
cifar10_r50_geo_m,9,0.05,shuf,2048,0.7384799718856812,0.7384799718856812,0.7384799718856812,0.7838399767875671,0.6931999999999999,0.7384799718856812,5.0
cifar10_r50_geo_m,9,0.1,orig,2048,0.8761000037193298,0.8761000037193298,0.8761000037193298,0.8995999693870544,0.8556,0.8761000037193298,1.0
cifar10_r50_geo_m,9,0.1,shuf,2048,0.8059799790382385,0.8059799790382385,0.8059799790382385,0.8397999763488769,0.74348,0.8059799790382385,5.0
cifar10_r50_geo_m,9,0.15,orig,2048,0.886199951171875,0.886199951171875,0.886199951171875,0.9027000069618225,0.8671,0.886199951171875,1.0
