dataset,model,coord_mode,null_kind,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,raw_p,holm_p,bh_p,sig_holm,sig_bh
cifar10,r50,geo_m,mean of 5 permutations,0.35,10,0.9012399792671204,0.8797979748249054,0.021442004442214967,0.020480861617239342,0.02240314726719059,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.4,10,0.9042099773883819,0.8848979794979096,0.019311997890472422,0.01813741834426437,0.020486577436680475,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.45,10,0.9061799764633178,0.8889439773559571,0.017235999107360834,0.01580317607511953,0.018668822139602137,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.5,10,0.9078599750995636,0.8932139790058138,0.01464599609374998,0.013375261090137024,0.015916731097362934,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.55,10,0.9086699783802032,0.8962499773502351,0.012420001029968274,0.01145571454882348,0.013384287511113068,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.6,10,0.9081699788570404,0.8991039800643922,0.009065998792648322,0.007226615758015716,0.01090538182728093,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.65,10,0.9093999743461609,0.9017519760131835,0.007647998332977302,0.006699301385336128,0.008596695280618474,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.7,10,0.909989982843399,0.9032559752464294,0.006734007596969604,0.005820685852857366,0.007647329341081842,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.75,10,0.9103799760341644,0.905009970664978,0.005370005369186392,0.004796359619720084,0.0059436511186527,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.8,10,0.9094899833202362,0.9063219761848449,0.0031680071353912377,0.002321657882592907,0.004014356388189568,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.85,10,0.9099899768829346,0.9076139760017394,0.002376000881195084,0.0014557148968506362,0.003296286865539532,0.0009765625,0.01953125,0.0010850694444444445,True,True
