dataset,arm,seed,k_frac,k_neurons,reference,jaccard,jaccard_null_expected,calib
cifar10,geo_m,7,0.05,102,probe_weight,0.3691275167785235,0.02553830746119179,full_train
cifar10,geo_m,7,0.1,204,magnitude,0.44680851063829785,0.052415210688591986,full_train
cifar10,geo_m,7,0.1,204,variance,0.6721311475409836,0.052415210688591986,full_train
cifar10,geo_m,7,0.1,204,rate,0.23636363636363636,0.052415210688591986,full_train
cifar10,geo_m,7,0.1,204,probe_weight,0.3161290322580645,0.052415210688591986,full_train
cifar10,geo_m,7,0.2,409,magnitude,0.7221052631578947,0.11093029563330621,full_train
cifar10,geo_m,7,0.2,409,variance,0.8847926267281107,0.11093029563330621,full_train
cifar10,geo_m,7,0.2,409,rate,0.47920433996383366,0.11093029563330621,full_train
cifar10,geo_m,7,0.2,409,probe_weight,0.43508771929824563,0.11093029563330621,full_train
cifar10,geo_m,7,0.5,1024,magnitude,0.9051162790697674,0.3333333333333333,full_train
cifar10,geo_m,7,0.5,1024,variance,0.8059964726631393,0.3333333333333333,full_train
cifar10,geo_m,7,0.5,1024,rate,0.9266227657572906,0.3333333333333333,full_train
cifar10,geo_m,7,0.5,1024,probe_weight,0.5900621118012422,0.3333333333333333,full_train
cifar10,geo_m,8,0.05,102,magnitude,0.0049261083743842365,0.02553830746119179,full_train
cifar10,geo_m,8,0.05,102,variance,0.0967741935483871,0.02553830746119179,full_train
cifar10,geo_m,8,0.05,102,rate,0.0,0.02553830746119179,full_train
cifar10,geo_m,8,0.05,102,probe_weight,0.25925925925925924,0.02553830746119179,full_train
cifar10,geo_m,8,0.1,204,magnitude,0.2553846153846154,0.052415210688591986,full_train
cifar10,geo_m,8,0.1,204,variance,0.4117647058823529,0.052415210688591986,full_train
cifar10,geo_m,8,0.1,204,rate,0.12396694214876033,0.052415210688591986,full_train
cifar10,geo_m,8,0.1,204,probe_weight,0.3289902280130293,0.052415210688591986,full_train
cifar10,geo_m,8,0.2,409,magnitude,0.6458752515090543,0.11093029563330621,full_train
cifar10,geo_m,8,0.2,409,variance,0.8340807174887892,0.11093029563330621,full_train
cifar10,geo_m,8,0.2,409,rate,0.41278065630397237,0.11093029563330621,full_train
cifar10,geo_m,8,0.2,409,probe_weight,0.4426807760141093,0.11093029563330621,full_train
cifar10,geo_m,8,0.5,1024,magnitude,0.7210084033613445,0.3333333333333333,full_train
cifar10,geo_m,8,0.5,1024,variance,0.8123893805309734,0.3333333333333333,full_train
cifar10,geo_m,8,0.5,1024,rate,0.6125984251968504,0.3333333333333333,full_train
cifar10,geo_m,8,0.5,1024,probe_weight,0.6113296616837136,0.3333333333333333,full_train
cifar10,geo_m,9,0.05,102,magnitude,0.29936305732484075,0.02553830746119179,full_train
cifar10,geo_m,9,0.05,102,variance,0.5111111111111111,0.02553830746119179,full_train
cifar10,geo_m,9,0.05,102,rate,0.1590909090909091,0.02553830746119179,full_train
