coord,dataset,model,d,n_seeds,n_k_lowk,lowk_mean_gap,lowk_gap_min,lowk_gap_max,sig_holm_lowk
pca,cifar10,vit,1,10,6,0.0022483319044113155,-0.0008400022983551025,0.011629992723464965,0
pca,cifar10,vit,2,10,6,0.006005003054936726,-0.0011500000953674316,0.022149991989135743,2
pca,cifar10,vit,3,10,6,0.004416663448015849,-0.0007999956607818604,0.019779998064041137,0
pca,cifar10,vit,5,10,6,0.004134999712308248,-0.0006400108337402344,0.014679992198944091,1
pca,cifar10,vit,8,10,6,0.0018916706244150796,-0.0013200044631958008,0.010330021381378174,0
pca,cifar100,r50,1,10,6,0.005591665208339691,-0.009460002183914185,0.024459999799728394,1
pca,cifar100,r50,2,10,6,0.02064666599035263,0.005600005388259888,0.04181999564170837,4
pca,cifar100,r50,3,10,6,0.025644994278748834,0.007879984378814698,0.05225999653339386,6
pca,cifar100,r50,5,10,6,0.034073330958684284,0.01782999634742737,0.05592999160289765,6
pca,cifar100,r50,8,10,6,0.038569997747739164,0.02273000478744507,0.05514999628067017,6
pca,cifar100,vit,1,10,6,0.0009166608254114786,-0.0018900036811828613,0.005199980735778808,0
pca,cifar100,vit,2,10,6,0.0005233307679494223,-0.001919996738433838,0.0039600014686584474,0
pca,cifar100,vit,3,10,6,0.0005949954191843669,-0.0013700008392333984,0.00865999460220337,0
pca,cifar100,vit,5,10,6,-0.0013199994961420696,-0.002499997615814209,8.00013542175293e-05,0
pca,cifar100,vit,8,10,6,-0.0004983345667521161,-0.0042100012302398685,0.007159990072250366,0
pca,stl10,r50,1,10,6,-0.018566667040189107,-0.027175003290176393,0.004175013303756714,5
pca,stl10,r50,2,10,6,-0.005447917183240254,-0.014087492227554321,0.02356250286102295,2
pca,stl10,r50,3,10,6,-0.0012145807345708207,-0.010412502288818359,0.017549991607666016,1
pca,stl10,r50,5,10,6,-0.001947916547457377,-0.011462503671646118,0.02092500329017639,3
pca,stl10,r50,8,10,6,-0.007518751422564189,-0.012787508964538574,0.007899987697601318,4
pca,stl10,vit,1,10,6,0.00044374068578084306,-0.0016000092029571534,0.007174992561340332,0
pca,stl10,vit,2,10,6,0.002166669567426046,-0.0012749969959259034,0.009625011682510376,0
pca,stl10,vit,3,10,6,0.001283334692319234,-0.0019124865531921387,0.01106250286102295,0
pca,stl10,vit,5,10,6,0.0009833316008249918,-0.0009499967098236084,0.005737501382827759,0
pca,stl10,vit,8,10,6,-0.0006458371877670288,-0.0016250133514404297,0.0008624970912933349,0
