dataset,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100_sub45k,geo_r,0.55,5,0.8641599893569947,0.8626399755477905,0.0015200138092041015,-0.009675076481841646,0.01271510410024985,0.1685869764865468,0.003600001335144043,0.7253406684841653,1.0,0.8059340760935171,False,False
imagenet100_sub45k,geo_r,0.6,5,0.86555997133255,0.8691599845886231,-0.003600013256072998,-0.013545732943186287,0.0063457064310402924,-0.4494402611119189,-0.004999995231628418,0.3717686852880763,1.0,0.46471085661009537,False,False
imagenet100_sub45k,geo_r,0.65,5,0.8656799793243408,0.8720799922943115,-0.006400012969970703,-0.018286303077526923,0.005486277137585517,-0.6685572723652441,-0.007100015878677368,0.20924744914385185,1.0,0.2789965988584691,False,False
imagenet100_sub45k,geo_r,0.7,5,0.8691599845886231,0.8780399799346924,-0.008879995346069336,-0.022366317518991412,0.00460632682685274,-0.8175668936316296,-0.005600005388259888,0.14153361979856177,0.9907353385899325,0.2021908854265168,False,False
imagenet100_sub45k,geo_r,0.75,5,0.8710399746894837,0.8779999852180481,-0.0069600105285644535,-0.016580124818192973,0.0026601037610640664,-0.8983255541729478,-0.007100015878677368,0.114967074713963,0.919736597711704,0.17687242263686617,False,False
imagenet100_sub45k,geo_r,0.8,5,0.8724399685859681,0.8815999865531922,-0.009160017967224121,-0.016891121725927355,-0.0014289142085208897,-1.471156627538209,-0.008799999952316284,0.03022667983219429,0.30226679832194286,0.054957599694898704,False,False
imagenet100_sub45k,geo_r,0.85,5,0.8761599898338318,0.8845999717712403,-0.008439981937408447,-0.012260608385182323,-0.004619355489634571,-2.7429066569112437,-0.008199989795684814,0.0035815365268595575,0.0501415113760338,0.009979622714303006,False,True
imagenet100_sub45k,geo_r,0.9,5,0.8764399647712707,0.8850799679756165,-0.008640003204345704,-0.012800605778075312,-0.004479400630616095,-2.578468078383305,-0.00899997353553772,0.004490830221436353,0.05388996265723624,0.009979622714303006,False,True
imagenet100_sub45k,geo_r,0.95,5,0.881279981136322,0.8870799779891968,-0.005799996852874756,-0.007399761622133963,-0.004200232083615549,-4.501691386318341,-0.005799978971481323,0.0005478495014437893,0.009861291025988206,0.0036523300096252616,True,True
imagenet100_sub45k,geo_r,1.0,5,0.8889999985694885,0.8889999985694885,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,False,False
