dataset,model,coord,d,k_frac,orig_mean,gap,ci_lo,ci_hi
imagenet100,r50,geo_pca,5,0.2,0.7849199891090393,0.06440001726150513,0.043665112426401906,0.08513492209660835
imagenet100,r50,geo_pca,5,0.25,0.8090799808502197,0.03675999641418457,0.026880812984050734,0.04663917984431841
imagenet100,r50,geo_pca,5,0.3,0.8160399675369263,0.012599992752075195,0.0005132964544068402,0.024686689049743547
imagenet100,r50,geo_pca,5,0.35,0.8301599979400635,-0.00023998022079467772,-0.00815742658620511,0.007677466144615753
imagenet100,r50,geo_pca,5,0.4,0.8349199771881104,-0.007320010662078857,-0.01375956053623727,-0.0008804607879204437
imagenet100,r50,geo_pca,5,0.45,0.8448399782180787,-0.00803999900817871,-0.014707894329576122,-0.001372103686781298
imagenet100,r50,geo_pca,5,0.5,0.8497199773788452,-0.012280011177062988,-0.01877893411094957,-0.005781088243176407
imagenet100,r50,geo_pca,5,0.55,0.8557599902153015,-0.008879995346069336,-0.01206364827646367,-0.005696342415675003
imagenet100,r50,geo_pca,5,0.6,0.8527599811553955,-0.01987999677658081,-0.023753860897351087,-0.016006132655810534
imagenet100,r50,geo_pca,5,0.65,0.8565199732780456,-0.019200003147125243,-0.024697796266624834,-0.013702210027625651
imagenet100,r50,geo_pca,5,0.7,0.8619999766349793,-0.01592000722885132,-0.018335197050064474,-0.013504817407638163
imagenet100,r50,geo_pca,5,0.75,0.8647199749946595,-0.015119993686676025,-0.018185637370625944,-0.012054350002726106
imagenet100,r50,geo_pca,5,0.8,0.8671199798583984,-0.01463998556137085,-0.019787590367048108,-0.009492380755693594
imagenet100,r50,geo_pca,5,0.85,0.868999969959259,-0.015160012245178222,-0.016553670876159846,-0.013766353614196597
imagenet100,r50,geo_pca,5,0.9,0.8720799803733825,-0.013160014152526855,-0.016041685063866922,-0.010278343241186788
imagenet100,r50,geo_pca,5,0.95,0.8784399628639221,-0.009200012683868409,-0.012437273794599541,-0.005962751573137276
imagenet100,r50,geo_pca,5,1.0,0.8899999856948853,0.0,0.0,0.0
imagenet100,r50,geo_pca,8,0.05,0.5755599856376648,0.2178799867630005,0.17712904149668723,0.25863093202931375
imagenet100,r50,geo_pca,8,0.1,0.6758799910545349,0.1346000075340271,0.10786774201657715,0.16133227305147704
imagenet100,r50,geo_pca,8,0.15,0.7438799858093261,0.08636001348495484,0.06065083962655746,0.11206918734335222
imagenet100,r50,geo_pca,8,0.2,0.7735599875450134,0.04132001399993897,0.020781835008396587,0.06185819299148135
imagenet100,r50,geo_pca,8,0.25,0.8018399834632873,0.025319993495941162,0.010921994756928528,0.0397179922349538
imagenet100,r50,geo_pca,8,0.3,0.8217199683189392,0.009639978408813477,-0.010405531693298154,0.029685488510925107
imagenet100,r50,geo_pca,8,0.35,0.8250399827957153,-0.004879987239837647,-0.017610402312664086,0.007850427832988794
imagenet100,r50,geo_pca,8,0.4,0.8384799838066102,-0.006199991703033448,-0.017544327894114142,0.005144344488047245
imagenet100,r50,geo_pca,8,0.45,0.8395199775695801,-0.01512000560760498,-0.023954003948689278,-0.006286007266520684
imagenet100,r50,geo_pca,8,0.5,0.8489599704742432,-0.013600015640258789,-0.019477415506848016,-0.007722615773669562
imagenet100,r50,geo_pca,8,0.55,0.8546799778938293,-0.01203998327255249,-0.0171995293986185,-0.006880437146486478
imagenet100,r50,geo_pca,8,0.6,0.8544399738311768,-0.01728001832962036,-0.02515091789962136,-0.00940911875961936
imagenet100,r50,geo_pca,8,0.65,0.8543999671936036,-0.02139999866485596,-0.027154536492496644,-0.015645460837215273
imagenet100,r50,geo_pca,8,0.7,0.8587599873542786,-0.020599985122680665,-0.023467205777142914,-0.017732764468218417
imagenet100,r50,geo_pca,8,0.75,0.8583999872207642,-0.0225199818611145,-0.028177003695765746,-0.016862960026463255
imagenet100,r50,geo_pca,8,0.8,0.8625199675559998,-0.020760011672973634,-0.026015448635329032,-0.015504574710618235
imagenet100,r50,geo_pca,8,0.85,0.8655199885368348,-0.018759989738464357,-0.023588743469693564,-0.01393123600723515
imagenet100,r50,geo_pca,8,0.9,0.8685999870300293,-0.017479991912841795,-0.028272163171312252,-0.006687820654371341
imagenet100,r50,geo_pca,8,0.95,0.8779999613761902,-0.01052001714706421,-0.012544043262809673,-0.008495991031318746
imagenet100,r50,geo_pca,8,1.0,0.8899999856948853,0.0,0.0,0.0
